Community,Ward,Resource Type,Year of Construction,Development Era,Architectural Style,Original Use,Provincial,Municipal,Is Demolished,Is Decommissioned
UPPER MOUNT ROYAL,8,Community Historic Resource,1929,1919 to 1929 (Post WWI to Stock Market Crash),Classical Revival,Residence,False,False,False,False
BELTLINE,8,Community Historic Resource,1905,1885 to 1905 (Railway/Early Settlement),Queen Anne Revival,Residence,False,False,False,False
WINSTON HEIGHTS/MOUNTVIEW,7,Community Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Craftsman,Residence,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1903,1885 to 1905 (Railway/Early Settlement),Edwardian Commercial,Commerce,False,False,False,False
ALYTH/BONNYBROOK,9,City Wide Historic Resource,1949,1946 to 1956 (Oil Boom),Unknown,Industry,False,False,False,False
RAMSAY,9,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,False,False,False,False
DOWNTOWN EAST VILLAGE,7,Community Historic Resource,1907,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1888,1885 to 1905 (Railway/Early Settlement),Italianate,Commerce,False,True,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1958,1957 to 1982 (Modern),International,Commerce,False,False,False,False
BRIDGELAND/RIVERSIDE,9,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Cottage,Residence,False,False,False,False
WINSTON HEIGHTS/MOUNTVIEW,7,Community Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Craftsman,Residence,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1907,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
PARKDALE,7,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Arts & Crafts,Residence,False,False,False,False
POINT MCKAY,7,Community Historic Resource,1905,1885 to 1905 (Railway/Early Settlement),Unknown,Residence,False,False,False,False
RENFREW,9,City Wide Historic Resource,1962,1957 to 1982 (Modern),Eastern European,"Religion, Ritual and Funeral",False,False,False,False
ROSEDALE,7,City Wide Historic Resource,1951,1946 to 1956 (Oil Boom),International,Residence,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1921,1919 to 1929 (Post WWI to Stock Market Crash),Renaissance Revival,Leisure,True,False,False,False
OGDEN,9,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Classical Revival,Commerce,False,True,False,False
LOWER MOUNT ROYAL,8,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Classical,Residence,True,False,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1975,1957 to 1982 (Modern),Mid-Century Modern Residential,Residence,False,True,False,False
SOUTH CALGARY,8,Community Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,Community Historic Resource,1928,1919 to 1929 (Post WWI to Stock Market Crash),Edwardian Commercial,Commerce,False,False,False,False
INGLEWOOD,9,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Foursquare,Residence,False,False,False,False
CRESCENT HEIGHTS,7,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Craftsman,Residence,False,True,False,False
DOWNTOWN WEST END,7,Community Historic Resource,1925,1919 to 1929 (Post WWI to Stock Market Crash),Arts & Crafts,Residence,False,False,True,False
RENFREW,9,City Wide Historic Resource,1956,1946 to 1956 (Oil Boom),Eastern European,"Religion, Ritual and Funeral",False,False,False,False
MISSION,8,City Wide Historic Resource,1940,1940 to 1945 (WWII),Art Moderne/Streamlined Moderne,Residence,False,False,False,False
CURRIE BARRACKS,8,City Wide Historic Resource,1936,1930 to 1939 (Depression),Georgian Revival,Defence,True,True,False,False
INGLEWOOD,9,City Wide Historic Resource,1907,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1908,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,False,False
SPRINGBANK HILL,6,City Wide Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",American Colonial Revival,Residence,False,False,True,False
ELBOW PARK,8,Community Historic Resource,1922,1919 to 1929 (Post WWI to Stock Market Crash),Craftsman,Residence,False,False,False,False
MISSION,8,Community Historic Resource,1914,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Classical Revival,Residence,False,False,False,False
ELBOW PARK,8,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Arts & Crafts,Residence,False,True,False,False
TUXEDO PARK,7,City Wide Historic Resource,1919,1919 to 1929 (Post WWI to Stock Market Crash),Prairie,Education,False,False,False,False
TUXEDO PARK,7,City Wide Historic Resource,1934,1930 to 1939 (Depression),Unknown,Transport,False,False,False,False
TUXEDO PARK,7,City Wide Historic Resource,1914,1914 to 1918 (WWI),Classical Revival,Education,False,False,False,False
TUXEDO PARK,7,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Cottage,Residence,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1932,1930 to 1939 (Depression),Beaux-Arts,Commerce,True,True,False,False
MANCHESTER INDUSTRIAL,9,City Wide Historic Resource,1962,1957 to 1982 (Modern),Mid-Century Modern/Late Modern Non-Residential,Commerce,False,False,False,False
LOWER MOUNT ROYAL,8,Community Historic Resource,1927,1919 to 1929 (Post WWI to Stock Market Crash),Classical Revival,Commerce,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1904,1885 to 1905 (Railway/Early Settlement),Classical Revival,Commerce,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1930,1930 to 1939 (Depression),Art Deco,Commerce,True,False,False,False
DOWNTOWN COMMERCIAL CORE,8,City Wide Historic Resource,1953,1946 to 1956 (Oil Boom),Mid-Century Modern/Late Modern Non-Residential,Commerce,False,False,False,False
MISSION,8,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1929,1919 to 1929 (Post WWI to Stock Market Crash),Tudor Revival,Residence,False,True,False,False
DOWNTOWN COMMERCIAL CORE,8,City Wide Historic Resource,1951,1946 to 1956 (Oil Boom),Art Moderne/Streamlined Moderne,Commerce,False,True,False,False
ALYTH/BONNYBROOK,9,Community Historic Resource,1919,1919 to 1929 (Post WWI to Stock Market Crash),Unknown,Industry,False,False,False,False
SIGNAL HILL,6,City Wide Historic Resource,1915,1914 to 1918 (WWI),Unknown,Government,True,True,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1956,1957 to 1982 (Modern),International,Commerce,False,False,False,False
RAMSAY,9,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,False,False
ELBOW PARK,8,Community Historic Resource,1932,1930 to 1939 (Depression),Tudor Revival,Residence,False,False,False,False
RENFREW,9,City Wide Historic Resource,1945,1940 to 1945 (WWII),Unknown,Transport,False,False,False,False
RAMSAY,9,Community Historic Resource,1907,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Other,Commerce,False,False,False,False
INGLEWOOD,9,Community Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,False,False
MISSION,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Craftsman,Residence,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1909,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,False,False
CURRIE BARRACKS,8,City Wide Historic Resource,1936,1930 to 1939 (Depression),Classical Revival,Defence,True,False,False,False
CURRIE BARRACKS,8,City Wide Historic Resource,1936,1930 to 1939 (Depression),Classical Revival,Defence,True,False,False,False
PARKDALE,7,Community Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Craftsman,Residence,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1959,1957 to 1982 (Modern),Mid-Century Modern/Late Modern Non-Residential,Leisure,False,False,False,False
TUXEDO PARK,7,Community Historic Resource,1929,1919 to 1929 (Post WWI to Stock Market Crash),Craftsman,Residence,False,False,False,False
PARKDALE,7,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,Community Historic Resource,1914,1914 to 1918 (WWI),Georgian Revival,Residence,False,False,True,False
ROSEDALE,7,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
RAMSAY,9,Community Historic Resource,1949,1946 to 1956 (Oil Boom),Art Moderne/Streamlined Moderne,Commerce,False,False,True,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Foursquare,Residence,False,False,False,False
INGLEWOOD,9,Community Historic Resource,1904,1885 to 1905 (Railway/Early Settlement),Edwardian Commercial,Mixed Use,False,False,False,False
INGLEWOOD,9,Community Historic Resource,1966,1957 to 1982 (Modern),Art Moderne/Streamlined Moderne,Transport,False,False,False,False
INGLEWOOD,9,City Wide Historic Resource,1908,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Italianate,Residence,False,False,False,False
SHAWNESSY,13,City Wide Historic Resource,1963,1957 to 1982 (Modern),(Neo)Expressionist,Residence,False,True,False,False
INGLEWOOD,9,City Wide Historic Resource,1923,1919 to 1929 (Post WWI to Stock Market Crash),Spanish Colonial Revival,Commerce,False,False,False,False
RAMSAY,9,Community Historic Resource,1906,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Gable-Front,Residence,False,False,False,False
SUNALTA,8,City Wide Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Industry,False,True,False,False
HILLHURST,7,City Wide Historic Resource,1932,1930 to 1939 (Depression),Unknown,Leisure,False,False,False,False
FISH CREEK PARK,14,City Wide Historic Resource,1896,1885 to 1905 (Railway/Early Settlement),Queen Anne Revival,Food Supply,True,False,False,False
BOWNESS,1,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Leisure,False,True,False,False
HILLHURST,7,City Wide Historic Resource,1932,1930 to 1939 (Depression),Unknown,Transport,False,True,False,False
BOWNESS,1,Community Historic Resource,1956,1946 to 1956 (Oil Boom),Mid-Century Modern/Late Modern Non-Residential,Government,False,False,False,False
CURRIE BARRACKS,8,City Wide Historic Resource,1938,1930 to 1939 (Depression),Georgian Revival,Defence,True,False,False,False
DOWNTOWN COMMERCIAL CORE,8,City Wide Historic Resource,1965,1957 to 1982 (Modern),International,Commerce,False,False,False,False
INGLEWOOD,8,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Gable-Front,Residence,False,False,False,False
BELTLINE,8,Community Historic Resource,1907,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Residence,False,False,True,False
BRIDGELAND/RIVERSIDE,9,City Wide Historic Resource,1930,1930 to 1939 (Depression),Unknown,Food Supply,False,True,False,False
BRIDGELAND/RIVERSIDE,9,City Wide Historic Resource,1921,1919 to 1929 (Post WWI to Stock Market Crash),Edwardian Classical,Education,False,False,False,False
