Community,Ward,Resource Type,Year of Construction,Development Era,Architectural Style,Original Use,Provincial,Municipal,Is Demolished,Is Decommissioned
CHINATOWN,7,Community Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,False,False
CHINATOWN,7,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,False,False
CAPITOL HILL,7,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",American Foursquare,Education,False,True,False,False
CAPITOL HILL,7,Community Historic Resource,1932,1930 to 1939 (Depression),Unknown,Leisure,False,True,False,False
SUNNYSIDE,7,City Wide Historic Resource,1914,1914 to 1918 (WWI),Craftsman,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Leisure,False,True,False,False
SCARBORO,8,City Wide Historic Resource,1915,1914 to 1918 (WWI),Craftsman,Residence,False,False,False,False
SUNNYSIDE,7,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,False,False
INGLEWOOD,9,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Classical Revival,Mixed Use,False,False,False,False
ELBOW PARK,8,City Wide Historic Resource,1953,1946 to 1956 (Oil Boom),Modern Ranch,Residence,False,False,True,False
UPPER MOUNT ROYAL,8,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Foursquare,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Leisure,False,True,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1968,1957 to 1982 (Modern),Brutalist,Education,False,False,False,False
ELBOW PARK,8,Community Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Craftsman,Residence,False,False,False,True
DOWNTOWN WEST END,8,City Wide Historic Resource,1967,1957 to 1982 (Modern),Brutalist,Leisure,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1907,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Romanesque/Richardsonian Revival,Education,False,False,False,False
BELTLINE,8,C,1940,1940 to 1945 (WWII),Art Deco,Education,False,False,True,False
BELTLINE,8,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Leisure,False,True,False,False
BELTLINE,8,City Wide Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Classical Revival,Leisure,True,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1905,1885 to 1905 (Railway/Early Settlement),Gothic Revival,"Religion, Ritual and Funeral",False,False,False,False
CHINATOWN,7,City Wide Historic Resource,1915,1914 to 1918 (WWI),Beaux-Arts,Transport,False,True,False,False
DOWNTOWN COMMERCIAL CORE,8,City Wide Historic Resource,1975,1957 to 1982 (Modern),Brutalist,Leisure,False,True,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Classical Revival,Residence,False,False,False,False
SCARBORO,8,City Wide Historic Resource,1961,1957 to 1982 (Modern),(Neo)Expressionist,"Religion, Ritual and Funeral",False,False,True,False
ERLTON,8,City Wide Historic Resource,1908,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,"Religion, Ritual and Funeral",False,False,False,False
CHINATOWN,7,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,False,False
CHINATOWN,7,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,False,False
CHINATOWN,7,Community Historic Resource,1954,1946 to 1956 (Oil Boom),Stripped Classical,Community,False,False,False,False
CHINATOWN,7,City Wide Historic Resource,1953,1946 to 1956 (Oil Boom),Gothic Revival,"Religion, Ritual and Funeral",False,False,False,False
ELBOW PARK,8,City Wide Historic Resource,1933,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Gothic Revival,"Religion, Ritual and Funeral",False,False,False,False
SAGE HILL,2,City Wide Historic Resource,1898,1885 to 1905 (Railway/Early Settlement),Queen Anne Revival,Residence,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1905,1885 to 1905 (Railway/Early Settlement),Gothic Revival,"Religion, Ritual and Funeral",True,True,False,False
RENFREW,9,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Gable-Front,Residence,False,False,False,False
CALGARY INTERNATIONAL AIRPORT,5,City Wide Historic Resource,1939,1930 to 1939 (Depression),Art Moderne/Streamlined Moderne,Transport,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1901,1885 to 1905 (Railway/Early Settlement),Italianate,Commerce,False,False,False,False
SCARBORO,8,Community Historic Resource,1929,1919 to 1929 (Post WWI to Stock Market Crash),Georgian Revival,Residence,False,False,False,False
CLIFF BUNGALOW,8,City Wide Historic Resource,1920,1919 to 1929 (Post WWI to Stock Market Crash),Arts & Crafts,Education,False,True,False,False
BELTLINE,8,City Wide Historic Resource,1905,1885 to 1905 (Railway/Early Settlement),Unknown,Commerce,False,False,False,False
BANKVIEW,8,Community Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Gable-Front,Residence,False,False,False,False
BELTLINE,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Italianate,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,Community Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Tudor Revival,Residence,False,False,False,False
CLIFF BUNGALOW,8,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Classical Revival,Residence,False,False,False,False
BELTLINE,8,C,1942,1940 to 1945 (WWII),Art Moderne/Streamlined Moderne,Health and Research,False,False,True,False
ELBOW PARK,8,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Foursquare,Residence,False,False,False,True
INGLEWOOD,9,City Wide Historic Resource,1882,1875 to 1884 (Frontier),Unknown,Food Supply,True,True,False,False
INGLEWOOD,9,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Classical Revival,Education,False,False,False,False
INGLEWOOD,9,Community Historic Resource,1946,1946 to 1956 (Oil Boom),Art Moderne/Streamlined Moderne,Industry,False,False,True,False
DOWNTOWN COMMERCIAL CORE,8,C,1930,1930 to 1939 (Depression),Unknown,Residence,False,False,True,False
SUNALTA,8,City Wide Historic Resource,1966,1957 to 1982 (Modern),Other,Commerce,False,False,True,False
CAPITOL HILL,7,City Wide Historic Resource,1967,1957 to 1982 (Modern),Unknown,Leisure,False,True,False,False
UPPER MOUNT ROYAL,8,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Craftsman,Residence,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Classical Revival,Education,False,False,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Tudor Revival,Residence,False,False,True,False
RIDEAU PARK,8,Community Historic Resource,1914,1914 to 1918 (WWI),Craftsman,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Tudor Revival,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Tudor Revival,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Tudor Revival,Residence,False,False,False,False
MISSION,8,City Wide Historic Resource,1893,1885 to 1905 (Railway/Early Settlement),Queen Anne Revival,Residence,False,False,False,False
DOWNTOWN COMMERCIAL CORE,8,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Classical Revival,Government,True,False,False,False
BRIDGELAND/RIVERSIDE,9,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Industry,False,False,False,False
OGDEN SHOPS,9,City Wide Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Industry,False,False,False,False
OGDEN SHOPS,9,City Wide Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Industry,False,False,False,False
OGDEN SHOPS,9,City Wide Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Industry,False,False,False,False
OGDEN SHOPS,9,City Wide Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Industry,False,False,False,False
PATTERSON,6,City Wide Historic Resource,1905,1885 to 1905 (Railway/Early Settlement),Arts & Crafts,Residence,False,True,False,False
ELBOW PARK,8,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Arts & Crafts,Residence,True,True,False,False
CRESCENT HEIGHTS,7,City Wide Historic Resource,1928,1919 to 1929 (Post WWI to Stock Market Crash),Collegiate Gothic,Education,False,False,False,False
CRESCENT HEIGHTS,7,City Wide Historic Resource,1939,1930 to 1939 (Depression),Art Moderne/Streamlined Moderne,Commerce,False,False,False,False
TUXEDO PARK,7,Community Historic Resource,1933,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Tudor Revival,"Religion, Ritual and Funeral",False,False,False,False
CRESCENT HEIGHTS,7,Community Historic Resource,1923,1919 to 1929 (Post WWI to Stock Market Crash),Unknown,Leisure,False,False,False,False
INGLEWOOD,9,City Wide Historic Resource,1891,1885 to 1905 (Railway/Early Settlement),Queen Anne Revival,Residence,True,True,False,False
BOWNESS,1,City Wide Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Tudor Revival,Residence,False,False,False,False
SUNALTA,8,Community Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,True,False
BELTLINE,8,A,1909,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,True,False
SUNALTA,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Gable-Front,Residence,False,False,False,False
SOUTHVIEW,9,City Wide Historic Resource,1956,1946 to 1956 (Oil Boom),Unknown,Transport,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1916,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Chicago Commercial Style,Government,True,True,False,False
BELTLINE,8,City Wide Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Georgian Revival,Residence,True,True,False,False
RAMSAY,9,Community Historic Resource,1957,1957 to 1982 (Modern),Unknown,Commerce,False,False,False,False
BANKVIEW,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Arts & Crafts,Residence,False,False,False,False
CLIFF BUNGALOW,8,Community Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
RENFREW,9,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Gable-Front,Residence,False,False,False,False
CLIFF BUNGALOW,8,Community Historic Resource,1909,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,True,False
SUNALTA,8,Community Historic Resource,1909,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Cottage,Residence,False,False,False,False
ROSEDALE,7,City Wide Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Tudor Revival,Residence,False,False,False,False
BELTLINE,8,Community Historic Resource,1905,1885 to 1905 (Railway/Early Settlement),Queen Anne Revival,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Prairie,Residence,False,False,False,False
INGLEWOOD,9,City Wide Historic Resource,1906,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Foursquare,Residence,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,False,True,False,False
WOODBINE,13,City Wide Historic Resource,1951,1946 to 1956 (Oil Boom),Log,Residence,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,True,False
BELTLINE,8,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,True,True,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",American Colonial Revival,Residence,False,False,False,False
DOWNTOWN COMMERCIAL CORE,8,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Gable-Front,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Tudor Revival,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,Community Historic Resource,1951,1946 to 1956 (Oil Boom),Other,Residence,False,False,False,True
BRIDGELAND/RIVERSIDE,9,City Wide Historic Resource,1935,1930 to 1939 (Depression),Unknown,Community,False,False,False,False
BANKVIEW,8,Community Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Gable-Front,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,Community Historic Resource,1930,1930 to 1939 (Depression),Arts & Crafts,Residence,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1907,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Romanesque Revival,Commerce,False,False,False,False
DOWNTOWN COMMERCIAL CORE,8,City Wide Historic Resource,1958,1957 to 1982 (Modern),International,Commerce,False,False,False,True
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Beaux-Arts,Commerce,True,True,False,False
RAMSAY,9,City Wide Historic Resource,1927,1919 to 1929 (Post WWI to Stock Market Crash),Unknown,Industry,False,False,False,False
SUNNYSIDE,7,City Wide Historic Resource,1931,1930 to 1939 (Depression),Italianate,Residence,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Romanesque Revival,Commerce,False,False,False,False
INGLEWOOD,9,Community Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,False,False
UPPER MOUNT ROYAL,8,A,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Residence,False,False,True,False
ELBOW PARK,8,City Wide Historic Resource,1931,1930 to 1939 (Depression),Other,Residence,False,False,False,False
PEGASUS,5,City Wide Historic Resource,1941,1940 to 1945 (WWII),Unknown,Defence,False,False,False,False
CRESCENT HEIGHTS,7,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
HILLHURST,7,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Craftsman,Residence,False,False,False,False
BELTLINE,8,Community Historic Resource,1908,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Classical Revival,Residence,False,False,True,False
BELTLINE,8,Community Historic Resource,1908,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Classical Revival,Residence,False,False,True,False
BELTLINE,8,B,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Residence,False,False,True,False
BELTLINE,8,City Wide Historic Resource,1905,1885 to 1905 (Railway/Early Settlement),Edwardian Commercial,Commerce,False,False,False,False
ROCKY RIDGE,1,City Wide Historic Resource,1952,1946 to 1956 (Oil Boom),Art Moderne/Streamlined Moderne,Commerce,False,False,True,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1968,1957 to 1982 (Modern),Mid-Century Modern/Late Modern Non-Residential,Education,False,False,False,False
DOWNTOWN EAST VILLAGE,7,City Wide Historic Resource,1908,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Transport,False,False,True,False
HIGHFIELD,9,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Classical Revival,Industry,False,True,False,False
INGLEWOOD,9,City Wide Historic Resource,1909,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Romanesque Revival,Industry,True,True,False,False
INGLEWOOD,9,City Wide Historic Resource,1909,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Transport,False,False,False,False
SUNNYSIDE,7,Community Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1932,1930 to 1939 (Depression),Renaissance Revival,Residence,False,False,False,False
EAU CLAIRE,7,City Wide Historic Resource,1903,1885 to 1905 (Railway/Early Settlement),Unknown,Industry,False,False,False,False
EAU CLAIRE,7,City Wide Historic Resource,1947,1946 to 1956 (Oil Boom),Unknown,Commerce,False,False,False,False
INGLEWOOD,9,Community Historic Resource,1946,1946 to 1956 (Oil Boom),International,Commerce,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Mixed Use,False,False,False,False
BELTLINE,8,Community Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1969,1957 to 1982 (Modern),Brutalist,Education,False,False,False,False
WILDWOOD,8,City Wide Historic Resource,1883,1875 to 1884 (Frontier),Edwardian Gable-Front,Food Supply,False,True,False,False
ELBOW PARK,8,City Wide Historic Resource,1926,1919 to 1929 (Post WWI to Stock Market Crash),Tudor Revival,Education,False,False,False,False
ELBOW PARK,8,City Wide Historic Resource,1914,1914 to 1918 (WWI),Unknown,Leisure,False,True,False,False
BOWNESS,1,City Wide Historic Resource,1961,1957 to 1982 (Modern),Mid-Century Modern/Late Modern Non-Residential,Government,False,False,True,False
BELTLINE,8,City Wide Historic Resource,1928,1919 to 1929 (Post WWI to Stock Market Crash),Stripped Classical,Commerce,False,False,False,False
DOWNTOWN WEST END,8,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
DOWNTOWN COMMERCIAL CORE,8,City Wide Historic Resource,1958,1957 to 1982 (Modern),International,Commerce,False,False,False,False
South Calgary,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Arts & Crafts,Residence,False,False,False,False
BELTLINE,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Commerce,False,False,False,False
CLIFF BUNGALOW,8,Community Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
CRESCENT HEIGHTS,7,City Wide Historic Resource,1902,1885 to 1905 (Railway/Early Settlement),Gothic Revival,"Religion, Ritual and Funeral",False,False,False,False
BELTLINE,8,City Wide Historic Resource,1906,1885 to 1905 (Railway/Early Settlement),Classical Revival,Residence,True,True,False,False
MISSION,8,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Cottage,Residence,False,False,False,False
WEST HILLHURST,7,City Wide Historic Resource,1892,1885 to 1905 (Railway/Early Settlement),Other,Residence,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1909,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Georgian Revival,Residence,False,True,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Classical Revival,Government,True,True,False,False
BELTLINE,8,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Classical,Government,False,True,False,False
INGLEWOOD,9,City Wide Historic Resource,1952,1946 to 1956 (Oil Boom),Art Moderne/Streamlined Moderne,Government,False,False,False,False
BRIDGELAND/RIVERSIDE,9,City Wide Historic Resource,1909,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Classical,Government,False,True,False,False
SCARBORO,8,City Wide Historic Resource,1910,1919 to 1929 (Post WWI to Stock Market Crash),Craftsman,Residence,False,False,False,False
SOUTH CALGARY,8,City Wide Historic Resource,1952,1946 to 1956 (Oil Boom),Art Moderne/Streamlined Moderne,Community,False,False,True,False
HILLHURST,7,City Wide Historic Resource,1909,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Classical,Government,False,True,False,False
WEST HILLHURST,7,City Wide Historic Resource,1964,1957 to 1982 (Modern),Mid-Century Modern/Late Modern Non-Residential,Government,False,False,False,False
INGLEWOOD,9,City Wide Historic Resource,1906,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Classical,Government,False,True,False,False
MAYLAND,10,Community Historic Resource,1960,1957 to 1982 (Modern),Unknown,Industry,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Gothic Revival,"Religion, Ritual and Funeral",False,False,False,False
BELTLINE,8,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Tudor Revival,"Religion, Ritual and Funeral",False,False,False,False
BELTLINE,8,B,1927,1919 to 1929 (Post WWI to Stock Market Crash),Unknown,"Religion, Ritual and Funeral",False,False,True,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1908,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Transport,False,False,False,False
INGLEWOOD,9,City Wide Historic Resource,1914,1914 to 1918 (WWI),Unknown,Food Supply,False,False,False,False
MISSION,8,Community Historic Resource,1914,1914 to 1918 (WWI),Georgian Revival,Residence,False,False,False,False
CURRIE BARRACKS,8,City Wide Historic Resource,1936,1930 to 1939 (Depression),Unknown,Defence,False,False,True,False
BELTLINE,8,City Wide Historic Resource,1922,1919 to 1929 (Post WWI to Stock Market Crash),Edwardian Commercial,Industry,False,False,False,False
ELBOW PARK,8,Community Historic Resource,1924,1919 to 1929 (Post WWI to Stock Market Crash),Craftsman,Residence,False,False,True,False
Scarboro,8,City Wide Historic Resource,1915,1914 to 1918 (WWI),Craftsman,Residence,False,False,False,False
DOWNTOWN EAST VILLAGE,7,City Wide Historic Resource,1875,1875 to 1884 (Frontier),Unknown,Defence,True,False,False,False
HILLHURST,7,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
RAMSAY,9,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1964,1957 to 1982 (Modern),Brutalist,Residence,False,False,False,False
INGLEWOOD,9,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,False,False
INGLEWOOD,9,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,False,False
ELBOW PARK,8,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Gable-Front,Residence,False,False,False,False
WINSTON HEIGHTS/MOUNTVIEW,7,Community Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Craftsman,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,Community Historic Resource,1929,1919 to 1929 (Post WWI to Stock Market Crash),Unknown,Transport,False,True,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Arts & Crafts,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,Community Historic Resource,1926,1919 to 1929 (Post WWI to Stock Market Crash),Georgian Revival,Residence,False,False,True,False
BELTLINE,8,City Wide Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Romanesque Revival,Commerce,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,False,False,False,False
BRIDGELAND/RIVERSIDE,9,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,False,False
ELBOW PARK,8,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Leisure,False,True,False,False
ELBOW PARK,11,City Wide Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Arts & Crafts,Residence,False,False,False,False
INGLEWOOD,9,City Wide Historic Resource,1936,1930 to 1939 (Depression),Art Deco,Leisure,False,False,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1931,1930 to 1939 (Depression),Stripped Classical,Commerce,False,False,False,False
ELBOW PARK,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Craftsman,Residence,False,True,False,False
BRIDGELAND/RIVERSIDE,9,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Cottage,Residence,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1906,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,True,False,False
PARKDALE,7,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
SCARBORO,8,Community Historic Resource,1931,1930 to 1939 (Depression),Tudor Revival,Residence,False,False,False,False
BRIDGELAND/RIVERSIDE,9,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Mixed Use,False,False,False,False
INGLEWOOD,9,Community Historic Resource,1904,1885 to 1905 (Railway/Early Settlement),Edwardian Cottage,Residence,False,True,False,False
CLIFF BUNGALOW,8,City Wide Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Queen Anne Revival,Residence,False,False,False,False
UPPER MOUNT ROYAL,8,City Wide Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Tudor Revival,Residence,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1899,1885 to 1905 (Railway/Early Settlement),Romanesque Revival,Commerce,False,False,False,False
DOWNTOWN COMMERCIAL CORE,7,City Wide Historic Resource,1975,1957 to 1982 (Modern),Unknown,Community,False,False,False,False
ROSSCARROCK,8,Community Historic Resource,1960,1957 to 1982 (Modern),Mid-Century Modern/Late Modern Non-Residential,Transport,False,False,True,False
GLENMORE PARK,11,City Wide Historic Resource,1932,1930 to 1939 (Depression),Stripped Classical,Industry,False,False,False,False
GLENMORE PARK,11,City Wide Historic Resource,1933,1930 to 1939 (Depression),Art Deco,Industry,False,True,False,False
