,Name,Community,Year of Construction,probability
827,Speer Residence,ELBOW PARK,1910,0.5199634
838,St. Barnabas Anglican Church,HILLHURST,1912,0.5191561
895,Thompson Residence,HILLHURST,1911,0.51761675
96,Belisle Residence,MISSION,1912,0.51572174
892,Tennant Residence,CRESCENT HEIGHTS,1927,0.5134519
410,Green Residence,CRESCENT HEIGHTS,1922,0.51320004
745,River Park (Sandy Beach) Pedestrian Bridge,ALTADORE,1959,0.5122953
314,East Calgary (Inglewood) Bridge,DOWNTOWN EAST VILLAGE,1908,0.5110045
556,Lineham Block (1889),DOWNTOWN COMMERCIAL CORE,1889,0.51075065
795,Sharon Evangelical Lutheran Church,CRESCENT HEIGHTS,1931,0.51071304
376,Garden Residence,ELBOW PARK,1913,0.510383
548,Laurence Apartments,CLIFF BUNGALOW,1930,0.50852764
102,Biles Residence,TUXEDO PARK,1929,0.5085029
206,Carson Residence,ELBOW PARK,1953,0.5076729
515,John Keim/Mary J. Reavley Residence,MOUNT PLEASANT,1917,0.50406617
392,Glenmore Dam,GLENMORE PARK,1932,0.5038126
896,Thomson Brothers Block,DOWNTOWN COMMERCIAL CORE,1893,0.5035393
203,Carlyle Residence,SCARBORO,1915,0.5032745
5,10th Calgary Troop Boy Scout Hall (Sara Scout Hall),RIDEAU PARK,1927,0.5014434
478,Inglewood Lawn Bowling Club,INGLEWOOD,1936,0.5002677
913,Tyler Residence,CRESCENT HEIGHTS,1928,0.49975276
586,Max Block,DOWNTOWN EAST VILLAGE,1912,0.4994916
773,Sanderson Residence - Hillhurst,HILLHURST,1912,0.49827412
415,Guichon Residence,SCARBORO,1923,0.49770296
355,Fletchers Elevator Limited,INGLEWOOD,1914,0.49766085
525,Keith Residence,CAPITOL HILL,1912,0.49514303
360,Forslund Resicence,Scarboro,1915,0.49501902
391,Glendale Texaco Service Station,ROSSCARROCK,1960,0.49479407
981,Zimmerman Residence,HILLHURST,1912,0.49448222
579,Malcolm Clair Residence,HILLHURST,1912,0.49448222
681,Palliser Hotel,DOWNTOWN COMMERCIAL CORE,1914,0.49300388
78,Balmoral Workers Cottages,TUXEDO PARK,1912,0.49250633
781,Scotland Residence,MOUNT PLEASANT,1913,0.492162
364,Franklin House Apartments,BELTLINE,1964,0.49214897
786,Scott Residence,ALTADORE,1915,0.4921117
970,Worcester Residence,SHAGANAPPI,1913,0.4903213
450,Hillhurst Presbyterian Church,HILLHURST,1912,0.4885758
857,St. Michael's Anglican Church,CRESCENT HEIGHTS,1929,0.48616782
36,AGT Building,DOWNTOWN COMMERCIAL CORE,1929,0.48553127
367,Fraser Residence,ELBOW PARK,1911,0.48218372
602,McInnes Barn,SHAWNESSY,1915,0.48038897
923,Van Wart Residence,INGLEWOOD,1886,0.47971442
526,Kemish Residence,SUNALTA,1912,0.47814682
432,Heeney Residence,LOWER MOUNT ROYAL,1912,0.4774482
746,Riverdale Avenue - Sifton Boulevard Pedestrian Bridge,ELBOW PARK,1947,0.47522205
240,Colonel Sanders Residence,ELBOW PARK,1911,0.4744413
65,Arthur M. Webb Residence,DOWNTOWN WEST END,1925,0.46980664
783,Scotsman's Hill,RAMSAY,1879,0.4697261
150,Calgary & Edmonton Railway Bridge (Bow River),BRIDGELAND/RIVERSIDE,1925,0.46963167
178,Calgary Woodworker's Building,INGLEWOOD,1911,0.46957994
968,Woods Residence,ELBOW PARK,1911,0.46408585
438,Hester Residence,ELBOW PARK,1912,0.46407968
647,New Place Cottage - No. 4,INGLEWOOD,1911,0.45953527
648,New Place Cottage - No. 6,INGLEWOOD,1911,0.45953527
649,New Place Cottage - No. 8,INGLEWOOD,1911,0.45953527
454,Himmelman Boathouse,CLIFF BUNGALOW,1926,0.45916477
708,Poplar Grove Ranch Homestead House,SPRINGBANK HILL,1896,0.45880225
