,Name,Community,Year of Construction,probability
852,St. Mary's Cemetery,ERLTON,1935,0.00324906
418,Haddock Tree Nursery,STRATHCONA PARK,1930,0.0032227049
40,AGT Warehouse,BELTLINE,1921,0.0031746908
565,Lyon's Confectionery Building,INGLEWOOD,1946,0.0031617908
710,Porter Residence,UPPER MOUNT ROYAL,1929,0.003161032
813,Sinclair Residence,RAMSAY,1911,0.0031606157
377,Garry Theatre,INGLEWOOD,1936,0.003152362
268,Cross Residence (Hextall Home),BOWNESS,1913,0.0031495465
887,T.C. Power & Bro.,DOWNTOWN COMMERCIAL CORE,1885,0.00314758
937,Watson Residence,ROSEDALE,1911,0.0031310369
47,Alberta Hide & Fur Co. Building,DOWNTOWN EAST VILLAGE,1907,0.0031052036
338,Ferguson Residence,MISSION,1911,0.0030947132
792,Shaarey Tzedec Synagogue,MISSION,1959,0.0030906086
638,Natural Resources Building,DOWNTOWN COMMERCIAL CORE,1966,0.0030844077
187,Canadian Martyrs Catholic Parish Church,COLLINGWOOD,1967,0.0030782775
853,St. Mary's Parish (1955),MISSION,1955,0.0030755834
915,Ukrainian Cultural Centre,KILLARNEY/GLENGARRY,1953,0.0030747384
690,Patrick Residence,UPPER MOUNT ROYAL,1926,0.0030596054
71,Aulock Villa,SPRINGBANK HILL,1910,0.003016822
949,Western Hospital,BELTLINE,1906,0.0030071838
684,Parade Square at Currie Barracks,CURRIE BARRACKS,1936,0.003003215
734,Residence/Boarding House,BELTLINE,1902,0.0029954137
909,Trotter Residence,SUNALTA,1929,0.0029662775
93,Beaumont Circus,RENFREW,1945,0.002958274
56,Allan Residence,ROSEDALE,1951,0.0029548723
675,Original Centre Street Bridge Lions,DOWNTOWN COMMERCIAL CORE,1917,0.0029470075
616,Midnapore School,MIDNAPORE,1928,0.0029309816
761,Rothermal Residence,BRIDGELAND/RIVERSIDE,1911,0.002929317
477,Inglewood Community Hall,INGLEWOOD,1967,0.0029268516
212,Central High School,BELTLINE,1907,0.002923116
644,Nevler (Yorkshire) Block,RAMSAY,1915,0.002915972
791,Sevenoaks Court,INGLEWOOD,1913,0.0029152608
121,Brad House K3: Currie Barracks,CURRIE BARRACKS,1938,0.0029105507
826,Sparrow Residence,GLENBROOK,1910,0.0029084852
52,Alexandra Terrace,BELTLINE,1907,0.0029083274
426,Haskins Block,INGLEWOOD,1908,0.0029059765
820,Smith Residence,ELBOW PARK,1912,0.0028849617
535,Kneeshaw Residence,RAMSAY,1912,0.0028778552
430,Healy Apartments,BELTLINE,1912,0.0028641773
839,St. Cecilia's Roman Catholic Church,ACADIA,1968,0.0028496494
827,Speer Residence,ELBOW PARK,1910-1911,0.0028485982
497,Jacques Jewellery Store,DOWNTOWN COMMERCIAL CORE,1893,0.0028424948
786,Scott Residence,ALTADORE,1915,0.0028346747
102,Biles Residence,TUXEDO PARK,1929,0.002816194
428,Hayden Block,HILLHURST,1912,0.0028124175
103,Birtch Residence,PARKDALE,1912,0.002804996
850,St. Luke's Catholic Church,BRENTWOOD,1968,0.0028043946
630,Morgan Residence,ELBOW PARK,1911,0.0028007394
739,Rideau Park Pedestrian Bridge (Elbow River),ELBOW PARK,1934,0.002800024
639,Neelands (Elliot) Residence,BANKVIEW,1912,0.0027985985
621,Mire Katchen Residence,UPPER MOUNT ROYAL,1954,0.002798472
272,Cushing Bridge,SOUTHVIEW,1956,0.0027826207
890,Telfer Residence,ELBOW PARK,1911,0.0027773832
196,Cannibale Block,BRIDGELAND/RIVERSIDE,1912,0.0027647913
842,St. George's Island Bridge,BRIDGELAND/RIVERSIDE,1908,0.002758644
133,Broatch Residence,INGLEWOOD,1902,0.0027354183
309,Duplex Residences - 1318 3 ST SE,BELTLINE,1908,0.0027220803
308,Duplex Residences - 1314 3 ST SE,BELTLINE,1908,0.0027220803
123,Brady Residence,INGLEWOOD,1911,0.0027130973
175,Calgary Tower,DOWNTOWN COMMERCIAL CORE,1968,0.0027031128
8,118-120 9 Street NW,SUNNYSIDE,1910,0.002688681
682,Palliser Square,DOWNTOWN COMMERCIAL CORE,1965-71,0.0026882219
701,Pierson Residence,UPPER MOUNT ROYAL,1912,0.002680797
769,Sacred Heart Convent,MISSION,1894,0.0026739596
300,Donegal Mansions,SUNNYSIDE,1931,0.0026712131
881,Substation No. Four,SOUTH CALGARY,1930,0.0026686545
547,Latimer Residence,UPPER MOUNT ROYAL,1911,0.002667014
359,Fordyce House,ELBOW PARK,1924,0.0026667134
81,Bank of Nova Scotia - West End Branch,LOWER MOUNT ROYAL,1927,0.0026477668
533,King Residence,SUNNYSIDE,1912,0.0026343088
504,Jefferies Park,RAMSAY,1934.0,0.0026339213
371,G.C. King Residence,UPPER MOUNT ROYAL,1926,0.0026095668
152,Calgary Brewing & Malting Co. - Administrative Building,INGLEWOOD,1907,0.0025718184
317,East End Livery,INGLEWOOD,1909,0.0025625364
718,Quirk Residence,ELBOW PARK,1911,0.0025615627
539,Lacombe Home Site,MIDNAPORE,1910,0.0025509452
366,Fraser Block,INGLEWOOD,1911,0.0025449635
104,Bishop's House (Anglican),UPPER MOUNT ROYAL,1914,0.0025413467
527,Kennedy's Garage,SUNALTA,1927,0.0025277836
676,Original Riverside Iron Works,CRESCENT HEIGHTS,1913,0.0025251962
727,Ranlett Residence,MISSION,1911,0.0025164257
335,Ernest S Leonard Residence,CLIFF BUNGALOW,1910,0.002483231
804,Sibley Apartments,MISSION,1913,0.0024674863
652,No.11 RCAF Equipment and Storage Depot Warehouses,ALYTH/BONNYBROOK,1940,0.0024655482
930,W.O. Mitchell Residence,ROXBORO,1946,0.0024460184
470,Hunt House,INGLEWOOD,1881,0.0024397678
593,McClelland Residence,UPPER MOUNT ROYAL,1909,0.0024295396
526,Kemish Residence,SUNALTA,1912,0.002427981
441,Hickey Residence,MISSION,1912,0.0024202436
877,Strathcona School (Old),ELBOW PARK,1910,0.0024195162
511,John Coventry Residence,INGLEWOOD,1911,0.002411004
518,Johnson Residence,RAMSAY,1908,0.0023995475
364,Franklin House Apartments,BELTLINE,1964,0.0023945211
640,Neilson Block,DOWNTOWN COMMERCIAL CORE,1903,0.0023542217
536,Knoepfi (Hicks) Residence,BELTLINE,1910,0.002353572
436,Heritage Hall (SAIT Campus),HILLHURST,1921,0.0023522289
862,St. Stephen's Manse (Rectory),BELTLINE,1909,0.0023037484
528,Kerby Memorial Building,DOWNTOWN WEST END,1948,0.0023011533
892,Tennant Residence,CRESCENT HEIGHTS,1927,0.0022707938
114,Borland (Craik) Residence,RAMSAY,1906,0.0022633527
263,Crescent Heights High School,CRESCENT HEIGHTS,1928,0.0022374112
129,Brigden Shops,BELTLINE,1910,0.0022366608
293,Dinny the Dinosaur,BRIDGELAND/RIVERSIDE,1935,0.0022336566
954,Whiteman Residence,RENFREW,1913,0.0022284957
603,McIntyre Residence,RAMSAY,1910,0.002227232
163,Calgary Herald Block (Calgary Wine & Spirit),DOWNTOWN COMMERCIAL CORE,1887,0.0022248365
669,Ogden Federal Elevator,ALYTH/BONNYBROOK,1914,0.002219073
447,Hillcrest Texaco Service Station,RENFREW,1959,0.0022043525
956,William and Florence Thompson Residence,ROXBORO,1928,0.0021949052
938,Webster Residence,BANKVIEW,1912,0.0021916921
814,Skaken Residence,UPPER MOUNT ROYAL,1947,0.002191173
302,Dougall Block,INGLEWOOD,1910,0.0021896139
541,Landeryou Residence,CRESCENT HEIGHTS,1913,0.00218348
183,Canada Malting Company,ALYTH/BONNYBROOK,1912,0.0021828017
128,Brigden Grocery Store,BELTLINE,1909,0.0021675187
574,Macpherson Fruit Company,DOWNTOWN COMMERCIAL CORE,1905,0.002158529
936,Warrant Officers & Sergeants Quarters A2: Currie Barracks,CURRIE BARRACKS,1935,0.0021308388
555,Lineham Block,DOWNTOWN COMMERCIAL CORE,1886,0.0021238786
773,Sanderson Residence - Hillhurst,HILLHURST,1912,0.0021020654
480,Inland Cement Industries Office Building,FOOTHILLS,1963,0.0021002814
923,Van Wart Residence,INGLEWOOD,1886,0.0020938732
851,St. Mary's Cathedral,MISSION,1957,0.0020926383
855,St. Mary's Rectory and Parish Office,MISSION,1958,0.0020926383
32,A. B. Cushing Lumber Company,BELTLINE,1912,0.0020780466
322,Economy Cleaners & Tailors Building,INGLEWOOD,1946,0.0020762645
395,Gordon Residence,KILLARNEY/GLENGARRY,1912,0.0020743674
286,Denoon Residence,WOODBINE,1951,0.0020645906
977,Young Block,MISSION,1912,0.0020562743
390,Glenbow Museum Exterior Murals,DOWNTOWN COMMERCIAL CORE,1975,0.0020538394
88,Bates Electric Welding,ALYTH/BONNYBROOK,1919,0.0020369436
896,Thomson Brothers Block,DOWNTOWN COMMERCIAL CORE,1893,0.002032538
583,Maple Leaf Mills (Original Location),ALYTH/BONNYBROOK,1905,0.0020190484
276,Dalton Residence,BANKVIEW,1912,0.0020188065
367,Fraser Residence,ELBOW PARK,1911,0.0020181735
780,Schriner Residence,BRIDGELAND/RIVERSIDE,1939,0.002017702
948,Western Canada High School,CLIFF BUNGALOW,1929,0.0020159888
234,Club Carousel,BELTLINE,1905,0.0020025135
247,Connacher Residence,UPPER MOUNT ROYAL,1911,0.0019936345
204,Carscallen Block,SUNNYSIDE,1911,0.001990254
722,Rae House,UPPER MOUNT ROYAL,1912,0.0019759545
256,CPR Irrigation Block - Western Section Headworks and Canal,BRIDGELAND/RIVERSIDE,1912,0.0019736935
525,Keith Residence,CAPITOL HILL,1912,0.0019490089
221,Chinese Cemetery,ERLTON,1908,0.0019133323
840,St. Gabriel’s Anglican Church (original),HIGHLAND PARK,1913,0.001911158
126,Bridgeland School,BRIDGELAND/RIVERSIDE,1921,0.0019104988
318,East Sunnyside Grocery,SUNNYSIDE,1913,0.0019092989
512,John J. Bowlen Building,DOWNTOWN COMMERCIAL CORE,1969,0.0018923006
181,Campion Residence,Renfrew,1912,0.0018779214
558,Lough & Elaine Apartments,SUNNYSIDE,1923,0.0018760079
582,Manning Residence,UPPER MOUNT ROYAL,1912,0.0018725457
396,Gordon Suites,CLIFF BUNGALOW,1929,0.0018714641
440,Hextall Residence,BOWNESS,1912,0.0018675535
44,Alberta Block,DOWNTOWN COMMERCIAL CORE,1903,0.0018606511
648,New Place Cottage - No. 6,INGLEWOOD,1911,0.0018530991
84,Bank of Toronto Building,DOWNTOWN COMMERCIAL CORE,1953,0.0018450305
109,Blackfoot Texaco Service Station,INGLEWOOD,1966,0.0018442913
117,Bow Valley Ranch House,FISH CREEK PARK,1896,0.0018313864
865,Stables Building No. 11 - Quarter Masters Stores - D4: Currie Barracks,CURRIE BARRACKS,1936,0.0018252531
15,412 11 ST NW,HILLHURST,1912,0.0018228898
219,Chapin Residence,UPPER MOUNT ROYAL,1912,0.0018208676
148,C.P.R. Worker's Cottage - 632 12 AV SE,BELTLINE,1906,0.0018203598
146,C.P.R. Worker's Cottage - 628 12 AV SE,BELTLINE,1906,0.0018203598
635,Musgrove Residence,CRESCENT HEIGHTS,1910,0.0018057826
544,Langner Spherical House,HUNTINGTON HILLS,1971,0.0017995139
311,Eagle Hall / Hale Bros Building,BELTLINE,1905,0.0017584044
767,Rutherford Hardware Store,INGLEWOOD,1901,0.001755942
45,Alberta Distillers,ALYTH/BONNYBROOK,1949,0.0017425929
303,Doyle Residence,UPPER MOUNT ROYAL,1910,0.0017269924
545,Lannan Residence,UPPER MOUNT ROYAL,1919,0.0017149443
149,C.P.R. Worker's Cottage - 636 12 AV SE,BELTLINE,1906,0.0017053173
145,C.P.R. Worker's Cottage - 626 12 AV SE,BELTLINE,1906,0.0017053173
144,C.P.R. Worker's Cottage - 624 12 AV SE,BELTLINE,1906,0.0017053173
147,C.P.R. Worker's Cottage - 630 12 AV SE,BELTLINE,1906,0.0017053173
871,Stein Apartments,BELTLINE,1911,0.0017026431
546,Larson Residence,ROSEDALE,1952,0.0017004764
438,Hester Residence,ELBOW PARK,1912,0.0016927721
903,Tregillus Residence,PARKDALE,1911,0.0016883862
594,McCormick House,SCARBORO,1912,0.0016869322
182,Canada Life Assurance (Hollinsworth) Building,DOWNTOWN COMMERCIAL CORE,1912,0.0016806824
628,Moore Residence,SHAGANAPPI,1912,0.0016704195
554,Lindsay's Folly,RIDEAU PARK,1913,0.0016701443
413,Greyhound Building,CHINATOWN,1946,0.0016659088
50,Alexander Befus Residence,BRIDGELAND/RIVERSIDE,1911,0.0016624009
484,Isabella Block,BANKVIEW,1910,0.0016581346
36,AGT Building,DOWNTOWN COMMERCIAL CORE,1929,0.0016509324
563,Louise Block,BELTLINE,1910-11,0.0016430238
42,Albert C Talbot Residence,BELTLINE,1905,0.0016373463
833,St. Andrew’s Presbyterian Church,INGLEWOOD,1911,0.001634907
729,RCASC Supply Depot No. 23 - C3: Currie Barracks,CURRIE BARRACKS,1936,0.001630631
856,St. Mary's School,MISSION,1909,0.0016289451
758,Roma Grocery,CRESCENT HEIGHTS,1910,0.0015901513
901,Traunweiser Residence,UPPER MOUNT ROYAL,1912,0.0015841585
564,Lowe Residence,BELTLINE,1911,0.001580934
35,Acme Fruit Co.,DOWNTOWN COMMERCIAL CORE,1911,0.0015790919
671,Oliver Residence,BELTLINE,1906,0.0015736426
980,Zaluski Residence,Ramsay,1911,0.0015703241
412,Gresham Block,INGLEWOOD,1911,0.0015624721
230,City Hangar - Calgary Municipal Airport (#2),CALGARY INTERNATIONAL AIRPORT,1939,0.001562191
422,Harrison Residence,RAMSAY,1912,0.0015595284
12,144/146 10 Street NW,SUNNYSIDE,1912,0.0015364388
918,Union Cemetery Caretaker's Cottage,MANCHESTER INDUSTRIAL,1900,0.0015318854
620,Miquelon Residence,UPPER MOUNT ROYAL,1929,0.001521542
2,104/106 10 Street NW,SUNNYSIDE,1919,0.0015175194
80,"Bank of Montreal, Highfield Branch",MANCHESTER INDUSTRIAL,1962,0.0015161292
180,Campbell Residence,ELBOW PARK,1912,0.0015004547
190,Canadian Northern Railway Bridge (Ogden Road),OGDEN,1913,0.0014859643
203,Carlyle Residence,SCARBORO,1915,0.001457916
629,Morasch Block,BRIDGELAND/RIVERSIDE,1911,0.0014528878
424,Harvey Block,BELTLINE,1913,0.001448812
513,John Jefferies Residence,RAMSAY,1911,0.0014318553
220,Chevra Kadisha Chapel,SCARBORO,1961,0.0014228006
178,Calgary Woodworker's Building,INGLEWOOD,1911,0.0014165848
664,O'Connell House & Out Buildings,SPRINGBANK HILL,1912,0.0014145458
848,St. Joseph's Roman Catholic Church,MOUNT PLEASANT,1914,0.0014123537
870,Stanley Residence,BELTLINE,1908,0.0014082132
933,Wallace Residence (Hextall home),BOWNESS,1913,0.0014003529
283,Dawson Residence,UPPER MOUNT ROYAL,1912,0.0013855564
894,The Standard Church of America,INGLEWOOD,1956,0.0013833618
3,106A 10 Street NW,SUNNYSIDE,1919,0.0013781722
873,Stepney Residence,MISSION,1907,0.0013720054
719,R.W. McDonald Residence,SUNNYSIDE,1912,0.001367966
694,Penny Lane Complex,DOWNTOWN COMMERCIAL CORE,1906,0.0013525332
601,McHugh House,BELTLINE,1896,0.0013514471
578,Mahood Farm House,SPRINGBANK HILL,1929,0.0013491759
400,Grand Trunk Cottage School,WEST HILLHURST,1911,0.0013455176
463,Hornibrook Residence,UPPER MOUNT ROYAL,1913,0.0013402195
391,Glendale Texaco Service Station,ROSSCARROCK,1960,0.0013401353
689,Paterson Residence,MOUNT PLEASANT,1913,0.0013327841
353,First Church of Christ Scientist,BELTLINE,1927,0.0013036937
781,Scotland Residence,MOUNT PLEASANT,1913,0.0012912177
692,Pauli Residence,SCARBORO,1913,0.0012812957
260,CPR Ogden Shops - Tender & Wheel Shop,OGDEN SHOPS,1913,0.0012756524
130,Britannia Building,DOWNTOWN COMMERCIAL CORE,1958,0.0012643859
14,24th Avenue Cottage School,CLIFF BUNGALOW,1911,0.0012547611
487,J. Stevenson & Associates,BELTLINE,1956,0.0012482384
699,Phillips Residence,BOWNESS,1928,0.0012467098
866,Stampede Corral,BELTLINE,1950,0.0012449695
255,Court House No. 2,DOWNTOWN COMMERCIAL CORE,1912,0.0012432579
362,Francis Residence,HILLHURST,1911,0.0012365044
57,Allen (Palace) Theatre,DOWNTOWN COMMERCIAL CORE,1921,0.0012363808
124,Brick Duplex,BELTLINE,1907,0.0012358009
618,Millican Residence,ELBOW PARK,1914,0.0012258803
868,Stanley Jones Grocery,RENFREW,1913,0.0012229409
289,Devenish Estate,UPPER MOUNT ROYAL,1911,0.0012190267
191,Canadian Pacific Railway Alyth Yard,ALYTH/BONNYBROOK,1911,0.0012154828
651,NJ McLaren Residence,CLIFF BUNGALOW,1910,0.0012097642
723,Ramsay School,RAMSAY,1912,0.0011995136
946,Western (Kraft) Building,DOWNTOWN COMMERCIAL CORE,1907,0.0011982579
978,Young Residence,UPPER MOUNT ROYAL,1910,0.0011969187
53,Alfred E. McKay Residence,PARKDALE,1912,0.0011919894
707,Poffenroth Block,BRIDGELAND/RIVERSIDE,1910,0.0011903227
596,McCutcheon Residence,LOWER MOUNT ROYAL,1911,0.0011855463
815,Skarzynski Residence,CRESCENT HEIGHTS,1912,0.0011798666
759,Rossmore Apartments,BELTLINE,1912,0.0011785884
960,Williams Block,BELTLINE,1926,0.0011585547
473,Hutchison Residence,ELBOYA,1913,0.0011577455
705,Plunkett & Savage Warehouse,BELTLINE,1950,0.001156652
131,British America Paint Co.,DOWNTOWN COMMERCIAL CORE,1910,0.0011402973
468,Hudson's Bay Company Department Store (1913),DOWNTOWN COMMERCIAL CORE,1913,0.0011346391
760,Rotary Park Lawn Bowls,CRESCENT HEIGHTS,1931,0.0011339389
647,New Place Cottage - No. 4,INGLEWOOD,1911,0.0011288723
859,St. Paul's Anglican Church,MIDNAPORE,1885,0.0011257494
82,Bank of Nova Scotia (1904),DOWNTOWN COMMERCIAL CORE,1904,0.00112253
319,Eaton Residence,UPPER MOUNT ROYAL,1932,0.0011176601
895,Thompson Residence,HILLHURST,1911,0.0011174877
188,Canadian Northern Railway Bridge (Bow River),OGDEN,1913,0.0011169667
771,Sales Residence,BELTLINE,1904,0.0011038912
420,Hamilton Apartments,INGLEWOOD,1912,0.0011012906
742,Riley Lodge,WEST HILLHURST,1911,0.00109362
466,House of Israel,MISSION,1930,0.0010791215
972,Wright Block,MISSION,1912,0.0010740423
127,Brigden Block,BELTLINE,1912,0.0010738085
864,St. Vladimir's Ukrainian Orthodox Church and Cultural Centre,CRESCENT HEIGHTS,1977,0.0010675275
355,Fletchers Elevator Limited,INGLEWOOD,1914,0.0010619947
800,Shimmin Residence,UPPER MOUNT ROYAL,1910,0.0010565183
969,Woollard Residence,MISSION,1911,0.0010526332
883,Summers Block,BANKVIEW,1913,0.001051104
728,RCAF Hangar No. 6,CURRIE BARRACKS,1940,0.0010432433
666,Oddfellows' Temple (Chamber of Commerce),DOWNTOWN COMMERCIAL CORE,1912,0.0010390324
942,Wellington Terrace,SUNNYSIDE,1911,0.0010360033
823,Southam Chambers (Herald Building),DOWNTOWN COMMERCIAL CORE,1913 & 1967,0.001029342
287,Deutsch Canadier Block (Eastern Block),BELTLINE,1910,0.0010281737
658,North-West Travellers Building,DOWNTOWN COMMERCIAL CORE,1913,0.0010263768
379,General Motors Warehouse,BELTLINE,1931,0.0010158829
590,McAra (Mackie) Residence,ROSEDALE,1914,0.0010158704
947,Western (Underwood) Block,BELTLINE,1905,0.0010071486
757,Rogerson Residence,RAMSAY,1910,0.0010028406
195,Canadian Pacific Railway Ogden Shops,OGDEN SHOPS,1913,0.0009834882
507,Jenkins' Groceteria No. 12,BELTLINE,1926,0.0009799214
481,International Harvester Co. of Canada Showroom and Service Station,BELTLINE,1929-1930`,0.0009745567
775,Sandringham Apartments,BELTLINE,1912,0.0009744402
631,Morris Residence,INGLEWOOD,1907,0.00097107084
156,Calgary Builders' Exchange Building,WEST HILLHURST,1962 & 1969,0.00096944807
4,108 10 Street NW,SUNNYSIDE,1919,0.00096530793
981,Zimmerman Residence,HILLHURST,1912,0.0009595964
434,Herald Mechanical Building,DOWNTOWN COMMERCIAL CORE,1964,0.0009542861
321,Eau Claire Smokestack,EAU CLAIRE,1947,0.00094986265
543,Langley Residence,BANKVIEW,1910,0.00094895123
975,Yale Apartments,CLIFF BUNGALOW,1913,0.0009408748
585,Mauch Residence,BRIDGELAND/RIVERSIDE,1911,0.00093755795
611,Memorial Park Chapel/Rose & Crown Pub,BELTLINE,1935,0.0009307243
801,Shipley Residence,ELBOW PARK,1921,0.0009293017
98,Bennett Building B6: Currie Barracks,CURRIE BARRACKS,1936,0.0009285428
105,Bishop's Palace,ROSEDALE,1911,0.00092377845
417,Gurevitch Residence,UPPER MOUNT ROYAL,1929,0.00092166103
584,Massey-Harris Co. Warehouse,BELTLINE,1912,0.0009182015
604,McKay Lodge,RAMSAY,1911,0.00091734366
69,Aull (Sheftel) Block,INGLEWOOD,1907,0.00091632945
385,Gerlitz Block,BRIDGELAND/RIVERSIDE,1912,0.0009162518
602,McInnes Barn,SHAWNESSY,1915,0.00091262587
113,Blyth Block,INGLEWOOD,1923,0.0009123664
150,Calgary & Edmonton Railway Bridge (Bow River),BRIDGELAND/RIVERSIDE,1925,0.00090902654
726,Ranchmen's Club,BELTLINE,1914,0.00088932505
77,Balmoral School,TUXEDO PARK,1914,0.00088711834
553,Linda Mae Block,CHINATOWN,1950,0.0008837394
401,Grand Trunk Pacific Railway Bridge (Bonnybrook),OGDEN,1911,0.00088108965
469,Hudson's Bay Company Warehouse,BELTLINE,1912,0.0008726801
404,Graphic Arts (Western Printing) Building,EAU CLAIRE,1911,0.00087043835
270,Curtis Block,BELTLINE,1909,0.0008655681
429,Heagle Building,DOWNTOWN COMMERCIAL CORE,1958,0.00086265994
706,Plunkett House,UPPER MOUNT ROYAL,1911,0.00086214923
381,George Befus Residence,BRIDGELAND/RIVERSIDE,1911,0.00086106797
158,Calgary Co-operative Fur Farmers' Association Building,RAMSAY,1912,0.00085843296
253,Coste Estate - Dower House,UPPER MOUNT ROYAL,1912,0.00085441023
296,Doll Block,DOWNTOWN COMMERCIAL CORE,1907,0.00084985804
910,Tudhope Anderson Company Ltd.,BELTLINE,1906,0.0008423959
702,Pilkington Paint & Glass,BELTLINE,1913,0.00083879946
641,Neilson's Furniture Warehouse,BELTLINE,1912,0.00083636836
225,Chinese United Church,CHINATOWN,1953,0.00083612336
198,Canton Block Extension,CHINATOWN,1911,0.00082432816
941,Welch Residence,UPPER MOUNT ROYAL,1907,0.00082413334
540,Lancaster Building,DOWNTOWN COMMERCIAL CORE,1912,0.0008171507
755,Robinson Residence,UPPER MOUNT ROYAL,1910,0.0008076202
192,Canadian Pacific Railway Bonnybrook Bridge,OGDEN,1912,0.0008067741
808,Simington Co. Wholesale Grocery Warehouse,BELTLINE,1914,0.000804389
572,MacMillan Residence,SOUTH CALGARY,1912,0.0007827243
97,Bell Block,BELTLINE,1909,0.0007793323
456,Hoare Residence,BOWNESS,1928,0.0007656486
952,Weston Bakery (Golden West Bakery),BELTLINE,1929,0.0007636408
762,Roughton Residence,CLIFF BUNGALOW,1912,0.0007522542
632,Motor Transport Garage No. 25 - C5: Currie Barracks,CURRIE BARRACKS,1936,0.0007488971
670,Ogden Residence,CLIFF BUNGALOW,1909,0.0007339235
720,Radio Block,BELTLINE,1922,0.0007299985
240,Colonel Sanders Residence,ELBOW PARK,1911,0.00071699073
622,Mission Bridge,MISSION,1915,0.00071684696
245,Condon Building,SUNALTA,1966,0.00071418454
414,Grocery Store,BELTLINE,1907,0.0007081172
207,Carter Residence,UPPER MOUNT ROYAL,1911,0.00070335815
373,G.F. Stephens & Company Paint Warehouse,BELTLINE,1912,0.00069565227
606,McLellan Residence,SHAGANAPPI,1914,0.0006940581
646,New Place Cottage - No. 10,INGLEWOOD,1913,0.00069268094
600,McFarlane & Northcott Block (Turner-Hicks),DOWNTOWN COMMERCIAL CORE,1907,0.0006886097
351,First Baptist Church,BELTLINE,1911-12,0.0006836721
872,Stephenson & Co Building,BELTLINE,1911,0.0006809485
305,Drill Hall (Aero Space Museum Association of Calgary),PEGASUS,1941,0.0006704233
573,Macnaghten Block,DOWNTOWN COMMERCIAL CORE,1888,0.00066767837
194,Canadian Pacific Railway Bridge (Fish Creek),FISH CREEK PARK,1907,0.0006652044
567,MacDonald (Mount Royal) Apartments,BELTLINE,1915,0.00066494365
85,Bannerman Block,MISSION,1911,0.0006610703
1,1037 2 Avenue NW,SUNNYSIDE,1939,0.0006605938
586,Max Block,DOWNTOWN EAST VILLAGE,1912,0.0006549818
880,Stuart Residence,UPPER MOUNT ROYAL,1910,0.00065151596
257,CPR Ogden Shops - Freight Car Repair Shop,OGDEN SHOPS,1913,0.0006474057
91,Beaudry Block,RAMSAY,1911,0.00064408354
388,Gilfoy Residence,UPPER MOUNT ROYAL,1912,0.00064200716
444,High School Terrace,BELTLINE,1910,0.0006261954
613,Metals Limited Warehouse,BELTLINE,1928,0.00062319706
907,Trinity Lutheran Church,EAU CLAIRE,1910,0.0006211637
899,Trainer Residence,UPPER MOUNT ROYAL,1911,0.0006144105
472,Hutchings Residence,UPPER MOUNT ROYAL,1929,0.0006069052
847,St. Joseph's Parish Centre,MOUNT PLEASANT,1960,0.0006031639
932,Wallace Residence,SCARBORO,1912,0.000602363
368,Frederick Wright Residence,WINSTON HEIGHTS/MOUNTVIEW,1913,0.000601205
796,Shaver Residence,UPPER MOUNT ROYAL,1930,0.0005943035
55,All Saints Russian Orthodox Church,RENFREW,1962,0.0005934805
607,McPhail Residence,UPPER MOUNT ROYAL,1911,0.00059130666
970,Worcester Residence,SHAGANAPPI,1913,0.0005878875
712,Price Residence,UPPER MOUNT ROYAL,1912,0.0005855444
34,Aberhart Residence,CLIFF BUNGALOW,1927,0.00056752283
421,Harold Wright Residence,WINSTON HEIGHTS/MOUNTVIEW,1913,0.00056321296
46,Alberta Grocery,RAMSAY,1912,0.0005604145
531,King George Masonic Hall,HILLHURST,1926,0.0005401714
372,G.F. & J. Galt & Co. Wholesale Grocers Warehouse,BELTLINE,1910,0.0005392064
538,L.T. Mewburn Co. Ltd.,BELTLINE,1912,0.00053872657
462,Hone Ranch House,SOUTHWOOD,1910,0.00053517596
164,Calgary Labour Temple,BELTLINE,1912,0.0005328031
193,Canadian Pacific Railway Bowness Bridges,SILVER SPRINGS,1912,0.00052713515
265,Crescent Heights Methodist Church,TUXEDO PARK,1908; 1922; 1958,0.0005270907
696,Petro Chemical Building,DOWNTOWN COMMERCIAL CORE,1956,0.00052695104
878,Stringer Residence,UPPER MOUNT ROYAL,1910,0.0005226379
232,Clarke-Love Residence,SCARBORO,1929,0.00052001886
595,McCurdy Residence,RAMSAY,1909,0.00051975844
169,Calgary Paint & Glass Co. Warehouse,BELTLINE,1913,0.0005170102
754,Roberts Residence,SUNALTA,1910,0.0005129261
615,Mewata Bridge,HILLHURST,1954,0.0005125377
358,Ford Motor Company of Canada Warehouse,BELTLINE,1922,0.00050756184
709,Pop's Confectionery,RAMSAY,1902,0.00049801153
551,Leeson & Lineham Block,DOWNTOWN COMMERCIAL CORE,1910,0.00049794937
339,Field Residence,WEST HILLHURST,1892,0.0004941801
934,Walsh House,UPPER MOUNT ROYAL,1914,0.0004908871
365,Fraser & Seabloom Block,INGLEWOOD,1912,0.00048425744
227,Christie Ranch House,SAGE HILL,1898,0.00048411574
320,Eau Claire & Bow River Lumber Co.,EAU CLAIRE,1903,0.0004807333
493,J.W.C. Block,BELTLINE,1912,0.00047406036
54,Alfred S. McKay Residence,POINT MCKAY,1905,0.00045916234
